BOOT_BUTTON,36.65,112.67,180.00,BUTTON_CUSYOMV1,MYBUTTON
C1,170.35,11.74,90.00,100nf,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,72.51,112.21,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10_SUPERCAP,110.76,48.41,270.00,CPH3225A,CAPCP3225X100N
C1_BAT,126.31,46.88,0.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT1,139.51,50.62,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT2,137.87,61.45,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2,171.77,11.84,90.00,100nf,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2_BAT,124.25,59.41,0.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,136.08,50.48,270.00,"100uF TANT",RCL_CT3528
C4,120.74,34.42,90.00,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C4_USB,163.22,50.13,0.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5,57.57,112.21,270.00,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5_USB,163.21,51.43,0.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C6,32.61,112.21,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,102.62,28.14,0.00,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C8,103.27,45.19,0.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C9,22.45,104.72,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
CHANGE_BUTTON,76.61,112.73,180.00,BUTTON_CUSYOMV1,MYBUTTON
C_DELAY,123.20,50.60,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
D1,162.18,54.30,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,68.35,36.39,90.00,PGB1010603MR,DIOC1608X36N
D11,27.59,102.84,0.00,PGB1010603MR,DIOC1608X36N
D12,93.99,24.23,0.00,PGB1010603MR,DIOC1608X36N
D2,125.60,50.52,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,116.94,33.52,180.00,MBR0530,SOD3716X135N
D4,116.96,29.97,0.00,MBR0530,SOD3716X135N
D5,103.34,36.94,180.00,MBR0530,SOD3716X135N
D6,50.32,49.59,90.00,PGB1010603MR,DIOC1608X36N
D7,104.87,60.98,0.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,63.33,36.29,90.00,PGB1010603MR,DIOC1608X36N
D9,66.14,36.39,90.00,PGB1010603MR,DIOC1608X36N
EPC_C6,110.16,24.09,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPC_C8,106.34,24.09,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C1,88.53,16.59,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C10,102.52,24.09,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C11,100.61,24.09,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C12,98.70,24.09,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C2,89.69,21.78,0.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C5,124.54,23.39,90.00,0.1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C7,108.15,24.09,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C9,104.53,24.09,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
GHC_LED,127.92,59.53,90.00,,ADAFRUIT_CHIP-LED0603
IC1,129.58,50.48,0.00,BD5229G-TR,SOT95P280X125-5N
IC4,61.69,106.50,0.00,XC6220A331MR-G,SOT95P280X120-5N
J1,102.58,17.78,0.00,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
J2,179.27,58.60,90.00,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
